category,current_stock,avg_weekly_sales,lead_time_days,month,recommended_order_qty
Outillage,82,5.19,5,8,0
Alimentaire,113,56.69,6,8,0
Textile,390,42.28,22,5,6
Alimentaire,327,3.78,10,2,0
Alimentaire,87,23.96,4,7,0
Outillage,153,12.43,19,11,0
Electronique,206,21.08,15,4,0
Textile,265,26.16,13,11,0
Textile,374,37.31,22,11,0
Alimentaire,348,48.56,10,3,0
Alimentaire,390,2.09,16,7,0
Electronique,16,16.24,19,9,50
Outillage,94,10.23,16,6,0
Outillage,225,50.37,8,9,0
Electronique,19,30.96,18,11,57
Electronique,142,50.26,19,8,83
Electronique,61,21.52,6,11,0
Electronique,373,4.13,7,10,0
Outillage,25,84.84,18,10,151
Outillage,59,11.53,6,11,0
Electronique,78,13.16,22,3,17
Textile,59,14.9,6,1,0
Electronique,227,88.35,24,2,260
Alimentaire,145,56.35,18,3,104
Textile,364,55.71,13,9,0
Textile,104,88.83,9,7,57
Outillage,214,9.78,11,6,0
Electronique,264,87.76,19,1,162
Electronique,250,19.95,19,9,0
Alimentaire,318,56.83,8,5,0
Alimentaire,80,38.97,15,10,46
Outillage,202,35.79,24,2,40
Outillage,320,83.95,9,4,27
Alimentaire,345,15.13,18,1,0
Outillage,247,89.74,7,4,8
Alimentaire,260,35.36,21,12,3
Textile,345,59.09,7,6,0
Alimentaire,249,87.18,10,6,55
Electronique,379,7.07,13,4,0
Outillage,51,83.21,11,4,85
Electronique,139,51.97,7,9,0
Electronique,44,63.99,17,12,161
Electronique,36,15.13,4,9,0
Alimentaire,188,48.94,24,9,134
Electronique,90,61.27,5,6,22
Electronique,162,42.15,11,2,0
Textile,175,15.64,23,9,0
Outillage,248,23.48,7,10,0
Electronique,378,77.19,5,7,0
Alimentaire,339,5.03,19,2,0
Textile,151,64.38,5,9,17
Outillage,130,89.95,22,12,220
Textile,308,2.66,13,3,0
Outillage,49,16.17,22,2,29
Textile,216,61.32,9,9,0
Alimentaire,169,7.28,6,4,0
Electronique,73,53.9,24,9,125
Outillage,246,62.19,20,9,88
Outillage,128,53.76,23,4,107
Electronique,74,34.14,10,1,30
Textile,261,63.36,12,7,0
Electronique,69,54.3,16,5,94
Textile,269,20.27,13,11,0
Outillage,64,51.56,9,5,58
Electronique,173,79.61,11,3,44
Alimentaire,323,60.68,16,11,15
Electronique,91,43.52,4,9,0
Textile,307,30.3,11,8,0
Outillage,288,9.56,10,12,0
Electronique,361,23.53,5,10,0
Alimentaire,67,2.98,6,11,0
Outillage,286,88.82,14,10,60
Alimentaire,374,21.58,6,5,0
Electronique,305,73.71,11,1,12
Alimentaire,75,16.84,15,8,2
Textile,328,26.96,22,10,0
Textile,42,38.81,6,12,21
Alimentaire,235,30.55,13,9,0
Outillage,199,72.25,6,7,0
Textile,212,86.28,13,7,88
Alimentaire,207,79.03,14,2,142
Outillage,12,15.51,20,1,41
Outillage,203,70.35,13,1,75
Alimentaire,374,15.02,23,11,0
Electronique,174,82.38,6,10,6
Textile,110,47.57,5,4,0
Textile,397,31.6,4,6,0
Electronique,39,15.82,11,6,0
Textile,194,3.04,8,3,0
Outillage,205,23.82,5,6,0
Electronique,191,82.43,8,5,25
Textile,368,72.16,24,9,79
Electronique,168,87.34,20,10,208
Textile,389,10.87,4,2,0
Alimentaire,26,54.11,23,6,189
Electronique,293,24.63,8,12,0
Outillage,237,49.78,12,11,4
Electronique,96,30.2,10,10,1
Textile,91,26.94,12,9,7
Electronique,287,52.5,19,1,36
Outillage,255,18.13,18,12,0
Textile,244,43.28,16,9,44
Outillage,20,59.27,17,11,127
Alimentaire,239,13.28,19,11,0
Alimentaire,392,83.89,7,4,0
Textile,6,46.5,12,1,74
Outillage,187,74.12,6,8,0
Outillage,197,59.54,18,6,56
Electronique,358,64.48,13,1,0
Textile,113,65.02,17,4,122
Electronique,190,79.01,15,12,115
Alimentaire,286,56.0,9,5,0
Outillage,24,26.48,6,4,5
Alimentaire,320,10.76,24,8,0
Outillage,328,55.35,10,8,0
Alimentaire,287,7.84,6,4,0
Electronique,259,23.23,10,11,0
Alimentaire,299,7.34,22,7,0
Textile,312,50.3,9,2,0
Outillage,361,16.11,24,4,0
Textile,171,55.72,13,11,15
Outillage,182,71.6,22,2,192
Outillage,255,74.33,17,1,76
Outillage,77,29.24,4,8,0
Textile,342,50.31,14,6,0
Alimentaire,308,51.54,12,4,5
Alimentaire,252,43.61,8,6,0
Electronique,120,59.65,15,3,72
Alimentaire,139,20.49,6,5,0
Outillage,173,88.17,18,3,197
Alimentaire,265,10.63,21,8,0
Electronique,311,74.97,5,9,0
Textile,268,54.28,14,11,22
Outillage,371,23.55,17,1,0
Outillage,384,67.62,5,4,0
Alimentaire,281,9.43,12,4,0
Alimentaire,148,70.15,9,7,45
Textile,239,53.92,4,7,0
Electronique,170,11.75,20,11,0
Alimentaire,251,9.0,13,12,0
Electronique,324,68.07,19,10,31
Outillage,147,27.78,16,3,17
Textile,202,80.26,22,1,204
Outillage,18,69.06,24,11,218
Outillage,294,63.44,16,12,63
Outillage,195,26.52,11,4,0
Electronique,183,64.39,12,1,82
Outillage,212,85.44,21,9,200
Electronique,86,10.06,12,8,0
Alimentaire,239,30.7,14,11,0
Textile,298,22.65,8,7,0
Alimentaire,139,36.61,24,10,61
Electronique,52,67.33,17,10,103
Electronique,154,43.73,10,1,30
Outillage,79,52.22,16,2,105
Alimentaire,149,29.65,12,10,0
Alimentaire,250,14.43,7,3,0
Outillage,45,25.49,22,3,28
Electronique,298,77.65,22,10,108
Outillage,89,55.01,21,3,134
Outillage,357,35.26,11,2,0
Textile,292,71.51,9,1,11
Electronique,109,7.67,5,6,0
Electronique,225,24.34,19,8,0
Alimentaire,44,22.25,10,9,0
Textile,39,88.71,22,11,265
Electronique,382,64.14,22,8,56
Alimentaire,320,56.37,6,10,0
Electronique,61,2.44,23,3,25
Textile,113,18.22,6,5,0
Electronique,79,57.93,14,4,83
Textile,158,35.42,13,1,0
Electronique,116,83.34,24,12,234
Electronique,131,69.3,17,3,127
Electronique,211,41.37,22,6,45
Outillage,75,67.96,16,5,154
Electronique,353,87.84,21,1,117
Alimentaire,291,42.57,21,11,17
Textile,304,58.54,22,3,74
Textile,67,82.84,12,2,122
Textile,283,23.88,12,5,0
Outillage,334,80.02,24,2,176
Alimentaire,70,10.58,19,12,5
Outillage,300,59.06,23,3,90
Alimentaire,143,70.89,16,4,160
Outillage,315,56.09,23,4,86
Textile,191,45.61,19,1,81
Textile,320,56.33,19,1,43
Outillage,58,15.35,7,7,0
Outillage,155,20.97,15,3,0
Outillage,109,25.75,19,2,36
Textile,99,54.6,19,4,137
Electronique,123,40.89,24,4,92
Alimentaire,152,23.51,10,6,0
Electronique,50,79.69,10,12,76
Outillage,282,34.91,24,4,43
Electronique,220,41.25,24,9,36
Electronique,331,38.05,7,10,0
Electronique,282,18.01,11,1,0
Textile,59,66.38,23,7,216
Textile,27,41.46,8,6,17
Outillage,169,3.43,20,7,0
Alimentaire,192,86.83,6,3,12
Alimentaire,96,73.79,7,6,24
Electronique,312,65.67,20,2,57
Electronique,232,78.48,16,12,100
Alimentaire,299,81.8,15,8,78
Outillage,43,31.7,21,1,75
Textile,326,55.76,10,7,0
Outillage,82,55.58,14,12,72
Electronique,179,25.52,16,9,18
Electronique,175,21.53,19,4,0
Outillage,328,12.02,10,11,0
Electronique,110,60.02,17,3,125
Electronique,96,70.72,13,3,97
Alimentaire,135,68.96,15,2,166
Outillage,144,29.83,22,12,34
Textile,72,20.06,12,9,22
Electronique,70,41.92,18,7,93
Outillage,92,50.12,23,9,110
Outillage,186,82.88,20,4,175
Outillage,137,78.98,24,1,247
Outillage,156,82.61,16,11,137
Electronique,287,76.82,9,12,0
Outillage,96,86.88,24,1,256
Alimentaire,363,42.96,17,1,0
Outillage,300,6.18,9,7,0
Textile,69,9.35,10,1,0
Outillage,125,36.34,9,9,0
Textile,73,24.68,21,12,18
Textile,109,16.95,5,4,0
Textile,146,85.88,19,4,190
Outillage,52,19.2,15,11,9
Textile,5,86.43,5,5,65
Electronique,175,68.95,16,3,111
Outillage,280,58.4,19,2,112
Textile,121,61.49,19,11,118
Alimentaire,344,31.17,15,12,0
Textile,147,58.89,11,1,30
Outillage,360,18.43,7,10,0
Outillage,94,84.52,4,2,12
Outillage,215,28.56,11,2,0
Alimentaire,305,24.46,17,5,0
Outillage,23,64.58,4,6,15
Alimentaire,372,59.77,24,11,55
Textile,145,41.71,16,9,68
Textile,199,57.66,10,2,9
Electronique,251,16.04,24,8,0
Alimentaire,257,61.25,7,11,0
Electronique,9,25.81,24,8,62
Electronique,346,26.01,9,3,0
Alimentaire,249,16.27,11,2,0
Alimentaire,399,31.25,12,6,0
Electronique,188,31.15,24,6,42
Alimentaire,245,41.97,9,5,0
Textile,176,18.76,24,2,21
Electronique,355,18.98,11,2,0
Alimentaire,332,49.67,9,7,0
Alimentaire,363,13.34,17,12,0
Textile,201,62.62,18,8,83
Alimentaire,316,85.07,11,6,37
Textile,143,39.56,6,12,0
Alimentaire,184,81.3,12,9,90
Alimentaire,304,10.65,15,9,0
Alimentaire,32,5.78,4,7,0
Electronique,284,65.48,5,10,0
Textile,6,68.97,23,7,190
Electronique,232,76.19,4,8,0
Alimentaire,190,7.0,12,8,0
Outillage,187,70.37,20,10,127
Outillage,197,35.14,10,11,0
Textile,196,28.69,14,4,0
Outillage,162,17.23,5,9,0
Outillage,180,89.65,20,1,209
Alimentaire,227,7.6,17,7,0
Outillage,305,74.78,21,11,105
Alimentaire,220,58.28,22,8,74
Alimentaire,257,66.69,11,4,8
Textile,334,64.63,4,8,0
Outillage,395,77.54,11,5,0
Outillage,43,18.17,7,6,29
Alimentaire,285,2.07,15,3,0
Textile,90,54.67,7,8,16
Electronique,78,33.14,23,3,96
Outillage,317,12.89,16,6,0
Textile,27,18.38,9,12,43
Textile,339,31.19,23,10,0
Outillage,308,8.18,20,5,0
Textile,397,7.01,13,12,0
Electronique,267,82.61,7,1,0
Alimentaire,349,29.47,11,12,0
Electronique,47,88.44,16,5,181
Textile,355,86.86,20,10,138
Electronique,64,14.55,9,12,0
Electronique,125,64.91,19,8,126
Textile,51,54.87,9,8,57
Textile,160,62.78,9,9,0
Textile,299,10.46,13,3,0
Outillage,107,18.59,7,3,0
Outillage,328,8.74,12,5,0
Electronique,242,55.16,11,6,4
Outillage,251,88.82,9,9,20
Textile,375,61.13,20,4,54
Textile,172,64.55,10,7,27
Electronique,137,88.64,18,1,176
Textile,397,61.67,19,1,29
Textile,222,5.54,17,12,0
Textile,245,78.3,9,11,0
Electronique,118,34.09,21,11,100
Textile,86,2.38,8,4,0
Outillage,67,46.64,9,7,24
Textile,89,84.46,22,9,204
Electronique,78,24.65,11,4,49
Outillage,298,45.25,18,9,0
Outillage,23,17.29,4,9,9
Electronique,251,7.08,16,5,0
Outillage,379,9.09,22,6,0
Alimentaire,306,65.98,18,4,118
Textile,161,78.04,16,10,132
Alimentaire,23,14.61,21,12,33
Outillage,333,27.37,10,12,0
Outillage,1,19.16,11,10,0
Outillage,272,4.36,5,5,0
Outillage,268,50.7,18,10,13
Outillage,76,63.59,19,3,156
Electronique,295,59.01,19,11,12
Alimentaire,70,36.15,19,4,100
Textile,90,50.84,6,5,0
Textile,324,10.28,17,2,0
Electronique,391,15.58,20,1,0
Electronique,105,84.0,8,5,43
Textile,368,69.01,14,7,24
Textile,365,83.2,23,1,167
Electronique,307,82.67,12,11,42
Electronique,56,59.15,19,2,172
Electronique,119,83.69,15,12,115
Textile,271,38.67,17,4,33
Electronique,399,2.32,17,5,0
Textile,325,7.51,17,2,0
Alimentaire,168,11.63,20,10,0
Alimentaire,94,10.39,22,9,0
Textile,384,32.95,10,1,0
Textile,110,63.71,23,2,202
Textile,136,71.58,17,8,131
Outillage,385,53.94,16,11,0
Outillage,224,14.89,10,2,0
Outillage,105,67.82,12,3,98
Textile,2,33.22,17,7,82
Alimentaire,171,3.14,11,2,0
Electronique,394,26.69,10,4,0
Textile,173,31.09,21,1,52
Electronique,279,26.13,12,6,0
Outillage,101,73.44,17,9,126
Outillage,310,68.87,4,5,0
Electronique,310,63.21,5,4,0
Outillage,243,14.23,21,6,0
Electronique,308,73.09,6,7,0
Textile,231,61.59,20,2,110
Electronique,151,19.15,22,2,22
Alimentaire,295,59.03,14,3,2
Textile,334,44.55,22,12,14
Textile,336,40.66,12,9,0
Alimentaire,85,11.87,23,2,0
Outillage,270,47.61,8,4,0
Outillage,1,10.79,12,5,39
Electronique,228,16.45,12,3,0
Textile,228,13.66,20,11,0
Textile,145,85.96,4,12,14
Alimentaire,397,27.07,21,3,0
Textile,353,33.26,4,1,0
Outillage,15,30.34,10,4,35
Outillage,83,81.05,16,7,151
Outillage,83,51.54,7,10,8
Textile,359,82.89,14,5,69
Alimentaire,207,28.39,24,4,72
Outillage,291,12.11,21,3,0
Alimentaire,323,50.95,4,1,0
Textile,307,32.41,16,1,0
Alimentaire,35,72.57,16,6,197
Alimentaire,56,79.39,5,8,49
Electronique,158,43.59,17,1,55
Outillage,135,87.48,14,3,130
Electronique,298,50.67,18,11,22
Electronique,62,25.84,10,12,0
Outillage,148,45.03,9,8,13
Textile,94,5.28,19,7,6
Alimentaire,75,72.75,19,7,215
Textile,69,10.93,7,5,0
Alimentaire,78,29.17,8,3,0
Electronique,225,51.75,16,5,42
Textile,164,5.78,21,9,0
Electronique,174,8.98,8,8,0
Textile,191,63.26,8,9,0
Outillage,296,8.32,20,8,0
Outillage,344,43.98,18,1,8
Alimentaire,210,31.81,22,8,75
Outillage,256,22.07,20,11,0
Textile,295,18.61,24,8,0
Alimentaire,276,69.18,7,7,0
Electronique,53,85.74,9,3,73
Alimentaire,393,14.34,8,10,0
Textile,65,86.45,5,6,38
Outillage,164,54.34,20,4,127
Electronique,261,58.47,17,6,55
Textile,161,64.47,5,2,1
Outillage,97,63.96,8,12,32
Outillage,369,74.14,8,9,0
Alimentaire,28,44.55,12,4,154
Electronique,98,48.94,13,10,58
Alimentaire,397,30.5,10,1,0
Outillage,291,11.26,23,5,0
Outillage,34,60.49,8,8,41
Textile,301,4.96,15,1,0
Electronique,387,26.26,13,9,0
Electronique,39,10.29,12,10,2
Alimentaire,165,18.78,21,8,33
Textile,187,58.21,24,3,173
Electronique,52,57.31,4,9,8
Textile,80,39.05,13,5,26
Textile,69,9.94,6,9,8
Electronique,74,40.14,13,8,39
Electronique,161,33.04,16,2,0
Alimentaire,185,65.4,12,2,82
Textile,95,52.95,10,1,64
Outillage,115,45.26,10,1,0
Alimentaire,76,44.85,10,4,35
Alimentaire,318,87.03,10,1,32
Outillage,84,68.55,11,12,92
Alimentaire,363,45.73,18,11,0
Alimentaire,215,44.17,6,3,0
Alimentaire,321,4.33,4,4,0
Electronique,254,84.94,14,9,51
Alimentaire,106,30.09,18,8,53
Textile,240,24.52,9,7,0
Outillage,109,89.95,8,12,40
Textile,47,65.24,17,8,145
Outillage,101,6.17,12,9,0
Textile,110,7.45,19,7,0
